"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.E_5P.empty_withCheck","thrpt",1,4,432716.731691,35672.216251,"ops/s"
"org.wrongwrong.E_5P.empty_withoutCheck","thrpt",1,4,433683.032233,56168.839257,"ops/s"
"org.wrongwrong.E_5P.fiveContents_withCheck","thrpt",1,4,251674.477954,54132.265290,"ops/s"
"org.wrongwrong.E_5P.fiveContents_withoutCheck","thrpt",1,4,254996.769182,4395.727966,"ops/s"
"org.wrongwrong.T_20P.empty_withCheck","thrpt",1,4,138980.082222,3042.822654,"ops/s"
"org.wrongwrong.T_20P.empty_withoutCheck","thrpt",1,4,139410.027752,26545.725406,"ops/s"
"org.wrongwrong.T_20P.fiveContents_withCheck","thrpt",1,4,69582.363717,985.034639,"ops/s"
"org.wrongwrong.T_20P.fiveContents_withoutCheck","thrpt",1,4,66200.755900,14159.109214,"ops/s"
