"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.E_5P.empty_withCheck","thrpt",1,4,311704.949935,2866.957498,"ops/s"
"org.wrongwrong.E_5P.empty_withoutCheck","thrpt",1,4,422187.097034,43810.012084,"ops/s"
"org.wrongwrong.E_5P.fiveContents_withCheck","thrpt",1,4,200041.537461,6315.353226,"ops/s"
"org.wrongwrong.E_5P.fiveContents_withoutCheck","thrpt",1,4,250080.330573,33948.844004,"ops/s"
"org.wrongwrong.T_20P.empty_withCheck","thrpt",1,4,95085.591362,3863.960532,"ops/s"
"org.wrongwrong.T_20P.empty_withoutCheck","thrpt",1,4,141653.310680,3522.712403,"ops/s"
"org.wrongwrong.T_20P.fiveContents_withCheck","thrpt",1,4,53699.081184,1658.765276,"ops/s"
"org.wrongwrong.T_20P.fiveContents_withoutCheck","thrpt",1,4,73047.806737,6161.060662,"ops/s"
